,situation_id,overallseverity,situationversiontime,confidentiality,informationstatus,situationrecordcreationreference,situationrecordcreationtime,situationrecordfirstsupplierversiontime,probabilityofoccurrence,value,validitystatus,overallstarttime,latitude,longitude,alertclocationcountrycode,alertclocationtablenumber,alertclocationtableversion,alertcdirectioncoded,specificlocation,offsetdistance,alertcmethod4secondarypointlocation,safetyrelatedmessage,mobilitytype,vehicleobstructiontype,accidenttype,alertcpoint,pointbycoordinates
0,RWS03_956972,unknown,2020-12-17 15:33:15+00:00,noRestriction,real,LCM-LCM20168480_IM_1,2020-12-17 15:33:15+00:00,2020-12-17 15:33:15+00:00,certain,VC Noordwest-Nederland,active,2020-12-17 15:32:36+00:00,52.42696,4.682106,8.0,5.21,A,negative,10589.0,1100.0,10591.0,true,stationary,brokenDownVehicle,nan,,
1,RWS03_956973,unknown,2020-12-17 15:34:26+00:00,noRestriction,real,LCM-LCM20168481_IM_1,2020-12-17 15:34:26+00:00,2020-12-17 15:34:26+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:33:58+00:00,51.8396721,4.61365652,8.0,5.21,A,negative,7609.0,17600.0,7623.0,true,stationary,brokenDownVehicle,nan,,
2,RWS03_956974,unknown,2020-12-17 15:36:05+00:00,noRestriction,real,EUX-CMVCNL4475003_1,2020-12-17 15:36:05+00:00,2020-12-17 15:35:56+00:00,certain,Verkeerscentrale VC Midden Nederland,active,2020-12-17 15:17:42+00:00,52.0740886772,5.1545894393,8.0,5.21,A,positive,8353.0,3200.0,8347.0,true,stationary,brokenDownHeavyLorry,nan,,
3,RWS03_956975,unknown,2020-12-17 15:36:47+00:00,noRestriction,real,LCM-LCM20168483_IM_1,2020-12-17 15:36:47+00:00,2020-12-17 15:36:47+00:00,certain,ANWB Den Haag,active,2020-12-17 15:36:09+00:00,51.95544,5.05894756,8.0,5.21,A,positive,8334.0,4800.0,8330.0,true,stationary,brokenDownVehicle,nan,,
4,RWS03_956976,unknown,2020-12-17 15:40:18+00:00,noRestriction,real,LCM-LCM20168484_IM_1,2020-12-17 15:40:18+00:00,2020-12-17 15:40:17+00:00,certain,VC Noord-en Oost Nederland,active,2020-12-17 15:39:36+00:00,51.90743,5.872835,8.0,5.21,A,negative,8862.0,2300.0,8865.0,nan,stationary,brokenDownVehicle,nan,,
5,RWS03_956977,unknown,2020-12-17 15:40:59+00:00,noRestriction,real,LCM-LCM20168485_IM_1,2020-12-17 15:40:59+00:00,2020-12-17 15:40:58+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:40:23+00:00,52.1088066,4.69423771,8.0,5.21,A,positive,10659.0,3800.0,10665.0,true,stationary,brokenDownVehicle,nan,,
6,RWS03_956978,unknown,2020-12-17 15:44:50+00:00,noRestriction,real,LCM-LCM20168486_IM_1,2020-12-17 15:44:50+00:00,2020-12-17 15:44:50+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:43:37+00:00,52.04667,4.496268,8.0,5.21,A,negative,7263.0,2000.0,7265.0,true,stationary,brokenDownVehicle,nan,,
7,RWS03_956979,unknown,2020-12-17 15:46:11+00:00,noRestriction,real,LCM-LCM20168488_IM_1,2020-12-17 15:46:11+00:00,2020-12-17 15:46:10+00:00,certain,VC Midden-Nederland,active,2020-12-17 15:45:56+00:00,52.0410347,5.14009047,8.0,5.21,A,negative,8343.0,1500.0,8347.0,true,nan,nan,accident,,
8,RWS03_956970,unknown,2020-12-17 15:30:24+00:00,noRestriction,real,LCM-LCM20168478_IM_1,2020-12-17 15:30:24+00:00,2020-12-17 15:30:23+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:29:51+00:00,52.053936,4.39953566,8.0,5.21,A,positive,7284.0,49700.0,7255.0,true,stationary,brokenDownVehicle,nan,,
9,RWS03_956971,unknown,2020-12-17 15:32:15+00:00,noRestriction,real,LCM-LCM20168479_IM_1,2020-12-17 15:32:15+00:00,2020-12-17 15:32:14+00:00,certain,VC Zuidwest-Nederland,active,2020-12-17 15:31:36+00:00,51.8964157,4.373382,8.0,5.21,A,negative,9150.0,3900.0,9154.0,true,stationary,brokenDownVehicle,nan,,
